year,month,nino34_anom,oni
1959,8,-0.77,-0.8100000000000002
1959,9,-0.8,-0.6833333333333336
1959,10,-0.48,-0.646666666666667
1959,11,-0.66,-0.5200000000000002
1959,12,-0.42,-0.4533333333333336
1960,1,-0.28,-0.38666666666666694
1960,2,-0.46,-0.34666666666666696
1960,3,-0.3,-0.36333333333333356
1960,4,-0.33,-0.2933333333333336
1960,5,-0.25,-0.3566666666666669
1960,6,-0.49,-0.3833333333333336
1960,7,-0.41,-0.35000000000000026
1960,8,-0.15,-0.28000000000000025
1960,9,-0.28,-0.3066666666666669
1960,10,-0.49,-0.4066666666666669
1960,11,-0.45,-0.4400000000000002
1960,12,-0.38,-0.3800000000000003
1961,1,-0.31,-0.2933333333333336
1961,2,-0.19,-0.28333333333333355
1961,3,-0.35,-0.33333333333333354
1961,4,-0.46,-0.33000000000000024
1961,5,-0.18,-0.23333333333333361
1961,6,-0.06,-0.2166666666666669
1961,7,-0.41,-0.3800000000000003
1961,8,-0.67,-0.6733333333333335
1961,9,-0.94,-0.8733333333333336
1961,10,-1.01,-0.8600000000000003
1961,11,-0.63,-0.7566666666666669
1961,12,-0.63,-0.6166666666666668
1962,1,-0.59,-0.5966666666666669
1962,2,-0.57,-0.5466666666666669
1962,3,-0.48,-0.5800000000000002
1962,4,-0.69,-0.6866666666666669
1962,5,-0.89,-0.7433333333333335
1962,6,-0.65,-0.6900000000000003
1962,7,-0.53,-0.5700000000000002
1962,8,-0.53,-0.6133333333333336
1962,9,-0.78,-0.6866666666666669
1962,10,-0.75,-0.8266666666666668
1962,11,-0.95,-0.8766666666666669
1962,12,-0.93,-0.8866666666666668
1963,1,-0.78,-0.7466666666666669
1963,2,-0.53,-0.4700000000000002
1963,3,-0.1,-0.22000000000000022
1963,4,-0.03,-0.14333333333333356
1963,5,-0.3,-0.14666666666666686
1963,6,-0.11,0.02666666666666645
1963,7,0.49,0.3333333333333331
1963,8,0.62,0.5966666666666666
1963,9,0.68,0.6466666666666664
1963,10,0.64,0.6966666666666664
1963,11,0.77,0.8099999999999997
1963,12,1.02,0.8599999999999998
1964,1,0.79,0.7299999999999999
1964,2,0.38,0.3033333333333331
1964,3,-0.26,-0.2500000000000002
1964,4,-0.87,-0.7500000000000003
1964,5,-1.12,-1.0433333333333337
1964,6,-1.14,-1.0733333333333335
1964,7,-0.96,-1.12
1964,8,-1.26,-1.2066666666666668
1964,9,-1.4,-1.336666666666667
1964,10,-1.35,-1.3966666666666672
1964,11,-1.44,-1.3866666666666667
1964,12,-1.37,-1.2333333333333336
1965,1,-0.89,-0.9400000000000003
1965,2,-0.56,-0.5966666666666669
1965,3,-0.34,-0.44666666666666693
1965,4,-0.44,-0.2400000000000002
1965,5,0.06,-0.006666666666666894
1965,6,0.36,0.3433333333333331
1965,7,0.61,0.6966666666666664
1965,8,1.12,1.0066666666666666
1965,9,1.29,1.2866666666666664
1965,10,1.45,1.3866666666666665
1965,11,1.42,1.4099999999999995
1965,12,1.36,1.2999999999999998
1966,1,1.12,1.093333333333333
1966,2,0.8,0.9499999999999998
1966,3,0.93,0.693333333333333
1966,4,0.35,0.29999999999999977
1966,5,-0.38,-0.036666666666666896
1966,6,-0.08,-0.14000000000000024
1966,7,0.04,-0.1366666666666669
1966,8,-0.37,-0.2566666666666669
1966,9,-0.44,-0.4366666666666669
1966,10,-0.5,-0.4700000000000002
1966,11,-0.47,-0.5133333333333335
1966,12,-0.57,-0.5700000000000003
1967,1,-0.67,-0.6266666666666669
1967,2,-0.64,-0.6966666666666669
1967,3,-0.78,-0.8333333333333336
1967,4,-1.08,-0.8166666666666669
1967,5,-0.59,-0.6433333333333336
1967,6,-0.26,-0.3933333333333336
1967,7,-0.33,-0.33666666666666695
1967,8,-0.42,-0.536666666666667
1967,9,-0.86,-0.6733333333333337
1967,10,-0.74,-0.7400000000000002
1967,11,-0.62,-0.6700000000000004
1967,12,-0.65,-0.706666666666667
1968,1,-0.85,-0.856666666666667
1968,2,-1.07,-0.956666666666667
1968,3,-0.95,-0.9133333333333337
1968,4,-0.72,-0.806666666666667
1968,5,-0.75,-0.44000000000000034
1968,6,0.15,-0.10666666666666695
1968,7,0.28,0.1966666666666664
1968,8,0.16,0.14999999999999972
1968,9,0.01,0.06999999999999972
1968,10,0.04,0.18333333333333304
1968,11,0.5,0.40333333333333304
1968,12,0.67,0.7066666666666664
1969,1,0.95,0.9099999999999997
1969,2,1.11,0.8666666666666664
1969,3,0.54,0.6533333333333331
1969,4,0.31,0.3999999999999997
1969,5,0.35,0.20666666666666636
1969,6,-0.04,0.03333333333333303
1969,7,-0.21,-0.030000000000000294
1969,8,0.16,0.12666666666666637
1969,9,0.43,0.40333333333333304
1969,10,0.62,0.4833333333333331
1969,11,0.4,0.46666666666666634
1969,12,0.38,0.35333333333333306
